"Timestamp","SECTION 1: Basic Info
What is your gender?","What is your age group?","What is your occupation?","How often do you use inDrive?","SECTION 2: Trip Details 
Which area do you usually travel FROM?","Which area do you usually travel TO? ","What is your most common reason for using inDrive?","What time do you usually book rides? (Select all that apply)","SECTION 3: Fare & Negotiation 
What fare do you usually offer for your most common route? (in PKR)","Does inDrive's suggested fare feel reasonable to you?","How much do you typically offer compared to the suggested fare?","How many drivers usually respond to your request?","Do you wait longer to get a ride during certain times?","SECTION 4: Peak Hours & Pricing Perception 
Have you noticed fares going higher at certain times of day?","If yes, when do you feel fares are highest? (Select all that apply)","Do you change your travel time to avoid high fares?","Has rain or bad weather affected your fare or wait time?","SECTION 5: Overall Experience 
Compared to other ride-hailing apps in Lahore (Careem, Uber, Bykea), inDrive fares are:","What is your biggest frustration with inDrive?","Would you recommend inDrive to others in Lahore?"
"2026/03/05 9:01:55 PM GMT+5","Male","18–24","Freelancer","3–5 times a week","Gulberg ","Johar town ","Social Plans","Afternoon (11 AM–2 PM)","200–350","Sometimes","I offer exactly suggested","1–2","Yes, evenings","No","Afternoon (1–3 PM)","Sometimes","Both (fare up and wait longer)","About the same","High fares","Yes"
"2026/03/05 9:54:15 PM GMT+5","Male","18–24","Student","A few times a month","Kot Lakhpat ","Defence ","Other","Afternoon (11 AM–2 PM)","200–350","Usually","I offer exactly suggested","1–2","Yes, late night","No","Evening rush (5–8 PM)","Yes, always","Yes, fare went up","About the same","Drivers rejecting offers","Maybe"
"2026/03/05 10:22:30 PM GMT+5","Male","18–24","Student","Rarely","Venus housing society Lahore ","In Lahore ","Social Plans","Night (6–10 PM)","200–350","Sometimes","I offer exactly suggested","1–2","No, I usually get picked up quickly","Not sure","","No, I travel whenever needed","I don't use it in rain","About the same","High fares","Maybe"
"2026/03/05 10:41:05 PM GMT+5","Female","18–24","Other","Rarely","I have never used ","Rarely traveled to gulberg","Social Plans","Afternoon (11 AM–2 PM)","200–350","Sometimes","I offer less than suggested","1–2","Yes, evenings","Yes","Evening rush (5–8 PM)","No, I travel whenever needed","Both (fare up and wait longer)","More expensive","Long wait","Maybe"
"2026/03/05 11:08:15 PM GMT+5","Female","18–24","Student","A few times a month","Uet ","Raiwand road ","University/School","Afternoon (11 AM–2 PM)","500–750","Sometimes","I offer slightly more to get accepted faster","1–2","Yes, late night","Yes","Late night","Sometimes","Yes, fare went up","Slightly cheaper","Nothing, I'm satisfied","Yes"
"2026/03/05 11:51:05 PM GMT+5","Female","18–24","Student","3–5 times a week","Hostel,university,home","Johartown,riwand,gullberg","Social Plans","Night (6–10 PM)","350–500","Usually","I offer slightly more to get accepted faster","More than 5","Yes, mornings","Yes","Morning rush (8–10 AM);Weekends;During rain","Sometimes","Yes, fare went up","About the same","Safety concerns","Maybe"
"2026/03/05 11:55:55 PM GMT+5","Female","18–24","Self-Employed","A few times a month","Home","Home","Other","Evening (2–6 PM);Night (6–10 PM)","200–350","Sometimes","I offer less than suggested","3–5","Yes, late night","Yes","Evening rush (5–8 PM)","Sometimes","Yes, fare went up","More expensive","Nothing, I'm satisfied","Yes"
"2026/03/06 1:06:10 AM GMT+5","Female","18–24","Student","A few times a month","Mao college Lahore ","Not one there are many different areas it's depend on where we going but mostly resturents ","Social Plans","Evening (2–6 PM)","500–750","Usually","I offer less than suggested","More than 5","No, I usually get picked up quickly","Yes","Afternoon (1–3 PM)","No, I travel whenever needed","Both (fare up and wait longer)","Slightly cheaper","Drivers rejecting offers","Yes"
"2026/03/06 1:41:41 AM GMT+5","Female","25–34","Self-Employed","Rarely","Ravi road ","Different areas","Work","Morning (8–11 AM)","200–350","Usually","I offer exactly suggested","1–2","Yes, mornings","Yes","Morning rush (8–10 AM)","No, I travel whenever needed","Both (fare up and wait longer)","Slightly cheaper","Long wait","Maybe"
"2026/03/06 3:34:38 PM GMT+5","Male","18–24","Student","A few times a month","Shershah colony","Thokar bypass","Other","Morning (8–11 AM);Afternoon (11 AM–2 PM);Evening (2–6 PM)","100–200","Sometimes","I offer exactly suggested","More than 5","No, I usually get picked up quickly","Yes","Evening rush (5–8 PM);Late night","No, I travel whenever needed","Both (fare up and wait longer)","About the same","Drivers rejecting offers","Yes"
"2026/03/06 5:12:38 PM GMT+5","Male","18–24","Employed","Daily","Iqbal town ","Bahria town","Work","Late Night (10 PM+)","200–350","Sometimes","I offer slightly more to get accepted faster","1–2","Yes, late night","Yes","Evening rush (5–8 PM)","No, I travel whenever needed","I don't use it in rain","More expensive","High fares","Yes"
"2026/03/06 5:27:44 PM GMT+5","Male","18–24","Student","Daily","Johar town E1","Minhaj University Lahore ","University/School","Morning (8–11 AM);Evening (2–6 PM)","100–200","Sometimes","I offer less than suggested","1–2","Yes, mornings","Yes","Evening rush (5–8 PM);Late night;During rain","No, I travel whenever needed","Both (fare up and wait longer)","Slightly cheaper","Drivers rejecting offers","Yes"
"2026/03/06 11:11:38 PM GMT+5","Male","18–24","Student","Once a week","Lahore ","Daewoo station ","Other","Evening (2–6 PM)","200–350","Always","I offer exactly suggested","3–5","No, I usually get picked up quickly","Not sure","Weekends","No, I travel whenever needed","I don't use it in rain","About the same","Nothing, I'm satisfied","Yes"
"2026/03/07 5:52:47 AM GMT+5","Female","25–34","Self-Employed","Once a week","Lahore","Kasur","Social Plans","Afternoon (11 AM–2 PM)","Above 750","Always","I offer exactly suggested","None","Yes, late night","No","Afternoon (1–3 PM)","Sometimes","Yes, wait was longer","About the same","Long wait","Maybe"
"2026/03/08 6:44:51 AM GMT+5","Female","Under 18","Student","Once a week","College road ","Superior university","University/School","Morning (8–11 AM);Afternoon (11 AM–2 PM);Evening (2–6 PM);Night (6–10 PM)","200–350","Rarely","I offer less than suggested","3–5","Yes, mornings","Yes","Morning rush (8–10 AM);Evening rush (5–8 PM);Weekends;During rain","Sometimes","Both (fare up and wait longer)","Slightly cheaper","High fares","Yes"
"2026/03/08 12:41:47 PM GMT+5","Female","18–24","Student","Rarely","Mustafa Town Lahore ","Anarkali ","University/School","Morning (8–11 AM)","500–750","Sometimes","I offer less than suggested","3–5","No, I usually get picked up quickly","Yes","Evening rush (5–8 PM)","No, I travel whenever needed","Yes, wait was longer","About the same","Nothing, I'm satisfied","Yes"
"2026/03/08 1:34:16 PM GMT+5","Female","18–24","Student","A few times a month","Lahore UET ","Rahbar terminal ","Other","Evening (2–6 PM)","350–500","Rarely","I offer less than suggested","3–5","No, I usually get picked up quickly","Yes","Afternoon (1–3 PM);Weekends","No, I travel whenever needed","I don't use it in rain","Slightly cheaper","Drivers rejecting offers","Maybe"
"2026/03/08 3:52:45 PM GMT+5","Female","18–24","Student","A few times a month","GPO","Orange line station ","Other","Afternoon (11 AM–2 PM)","200–350","Sometimes","I offer exactly suggested","3–5","No, I usually get picked up quickly","Yes","Evening rush (5–8 PM);Weekends","No, I travel whenever needed","I don't use it in rain","Slightly cheaper","Long wait","Maybe"
"2026/03/08 4:32:13 PM GMT+5","Female","18–24","Student","A few times a month","From my house or university","To my university or house or on some occasions to a friend's house","University/School","Morning (8–11 AM);Evening (2–6 PM)","200–350","Usually","I offer exactly suggested","3–5","Yes, evenings","Yes","Afternoon (1–3 PM);Evening rush (5–8 PM)","Sometimes","Yes, wait was longer","Slightly cheaper","Drivers rejecting offers","Yes"
"2026/03/08 5:00:56 PM GMT+5","Prefer not to say","25–34","Student","Once a week","Iqbal town","Mall road ","University/School","Morning (8–11 AM)","350–500","Sometimes","I offer exactly suggested","1–2","Yes, evenings","Yes","Evening rush (5–8 PM)","Sometimes","Yes, wait was longer","Slightly cheaper","Safety concerns","Maybe"
"2026/03/08 6:00:23 PM GMT+5","Female","18–24","Student","Rarely","Gulberg","Model town","Other","Afternoon (11 AM–2 PM)","200–350","Sometimes","I offer exactly suggested","1–2","No, I usually get picked up quickly","Yes","Afternoon (1–3 PM)","No, I travel whenever needed","I don't use it in rain","About the same","Safety concerns","Maybe"
"2026/03/08 6:58:38 PM GMT+5","Female","18–24","Student","Rarely","Home","University ","University/School","Morning (8–11 AM)","350–500","Sometimes","I offer slightly more to get accepted faster","3–5","Yes, mornings","Not sure","Evening rush (5–8 PM)","No, I travel whenever needed","Both (fare up and wait longer)","About the same","Safety concerns","No"
"2026/04/07 12:15:02 AM GMT+5","Male","18–24","Student","A few times a month","Dubai Town ","Bund Road","Other","Afternoon (11 AM–2 PM)","Above 750","Usually","I offer exactly suggested","1–2","Yes, late night","Yes","Morning rush (8–10 AM);Late night;Weekends;During rain","No, I travel whenever needed","Both (fare up and wait longer)","Slightly cheaper","App issues","Maybe"
"2026/04/07 12:43:16 AM GMT+5","Male","18–24","Student","Once a week","Dubai town","Emporium mall","Shopping","Afternoon (11 AM–2 PM);Evening (2–6 PM)","350–500","Sometimes","I offer exactly suggested","More than 5","Yes, evenings","Yes","Afternoon (1–3 PM);Evening rush (5–8 PM)","No, I travel whenever needed","Both (fare up and wait longer)","Slightly cheaper","High fares","Maybe"
"2026/04/07 9:53:33 AM GMT+5","Male","18–24","Freelancer","Daily","Ali town ","DUBAI TOWN ","University/School","Morning (8–11 AM)","100–200","Sometimes","I offer exactly suggested","More than 5","No, I usually get picked up quickly","Not sure","Morning rush (8–10 AM);Weekends","Sometimes","Yes, wait was longer","Slightly cheaper","Long wait","No"
"2026/04/24 6:00:05 PM GMT+5","Male","18–24","Student","Daily","Raiwind","Superior university","University/School","Early Morning (5–8 AM)","350–500","Sometimes","I offer less than suggested","3–5","Yes, mornings","Yes","Late night","Yes, always","Yes, fare went up","More expensive","High fares","No"
